Name,id,Recognition,State,Seat,Party,Gender,isdupe,DNA,Hair Final,Hairstyle Final,Eyebrows,Mouth,Ears,Facial Hair,Face,Misc,Eyes,Skin Shade,Wrinkles,Incumbent
Tommy Tuberville,542,0.853,AL,SEN,R,M,0,MGrayReceding HairlineNormalThin LipsBigNoneCheeksNoneBlueOrangemild,Gray,Receding Hairline,Normal,Thin Lips,Big,None,Cheeks,None,Blue,Orange,mild,Y
Richard Shelby,541,0.784,AL,SEN,R,M,0,MBrownReceding HairlineNormalNo SmileNormalNoneNormalNoneHazelWhiteMild,Brown,Receding Hairline,Normal,No Smile,Normal,None,Normal,None,Hazel,White,Mild,Y
Rick Crawford,18,0.486,AR,1,R,M,0,MLight BrownGeneric ShortNormalNormalNormalBeardNormalGlassesBrownOrangeNo,Light Brown,Generic Short,Normal,Normal,Normal,Beard,Normal,Glasses,Brown,Orange,No,Y
French Hill,19,0.683,AR,2,R,M,0,MDark GrayGeneric ShortNormalBig SmileNormalNoneNormalNoneBrownOrangeYes,Dark Gray,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Orange,Yes,Y
Steve Womack,20,0.528,AR,3,R,M,0,MGrayGeneric ShortNormalNo SmileBigNoneChinNoneAmberWhiteMild,Gray,Generic Short,Normal,No Smile,Big,None,Chin,None,Amber,White,Mild,Y
Bruce Westerman,21,0.523,AR,4,R,M,0,MDark GrayGeneric ShortNormalSmirkNormalNoneNormalNoneGreenWhiteNo,Dark Gray,Generic Short,Normal,Smirk,Normal,None,Normal,None,Green,White,No,Y
Tom Cotton,446,0.853,AR,SEN,R,M,0,MDark BrownGeneric ShortNormalSerious SmileNormalNoneChinNoneBrownWhiteNo,Dark Brown,Generic Short,Normal,Serious Smile,Normal,None,Chin,None,Brown,White,No,Y
John Boozman,547,0.642,AR,SEN,R,M,0,MBrownReceding HairlineNormalSmirkNormalNoneNormalGlasseshazelwhiteMild,Brown,Receding Hairline,Normal,Smirk,Normal,None,Normal,Glasses,hazel,white,Mild,Y
Tom O'Halleran,9,0.68,AZ,1,D,M,0,MGrayBaldNormalBig SmileNormalNoneNormalNoneBlueOrangeYes,Gray,Bald,Normal,Big Smile,Normal,None,Normal,None,Blue,Orange,Yes,Y
Ann Kirkpatrick,10,0.674,AZ,2,D,F,0,FBrownFemale BobNormalSmirkNormalNoneNormalNoneBlueWhiteYes,Brown,Female Bob,Normal,Smirk,Normal,None,Normal,None,Blue,White,Yes,Y
Raul Grijalva,11,0.66,AZ,3,D,M,0,MDark GrayReceding HairlineNormalNormalNormalGoateeNormalGlassesBrownOrangeYes,Dark Gray,Receding Hairline,Normal,Normal,Normal,Goatee,Normal,Glasses,Brown,Orange,Yes,Y
Paul Gosar,12,0.695,AZ,4,R,M,0,MDark GrayGeneric Male MediumNormalBig SmileBigNoneNormalNoneBlueWhiteYes,Dark Gray,Generic Male Medium,Normal,Big Smile,Big,None,Normal,None,Blue,White,Yes,Y
Andy Biggs,13,0.68,AZ,5,R,M,0,MGrayReceding HairlineNormalBig SmileBigNoneNormalNoneHazelOrangeYes,Gray,Receding Hairline,Normal,Big Smile,Big,None,Normal,None,Hazel,Orange,Yes,Y
David Schweikert,14,0.58,AZ,6,R,M,0,MGrayReceding HairlineNormalNo SmileNormalNoneCheeksNoneGreenWhiteYes,Gray,Receding Hairline,Normal,No Smile,Normal,None,Cheeks,None,Green,White,Yes,Y
Ruben Gallego,15,0.653,AZ,7,D,M,0,MBrownGeneric ShortNormalNormalNormalBeardNormalNoneBlueOrangeNo,Brown,Generic Short,Normal,Normal,Normal,Beard,Normal,None,Blue,Orange,No,Y
Debbie Lesko,16,0.607,AZ,8,R,F,0,FLight BlondeFemale LongNormalBig SmileNormalNoneChinNoneBlueWhiteNo,Light Blonde,Female Long,Normal,Big Smile,Normal,None,Chin,None,Blue,White,No,Y
Greg Stanton,17,0.574,AZ,9,D,M,0,MBrownGeneric Male MediumNormalSerious SmileBigNoneNormalNoneAmberWhiteMild,Brown,Generic Male Medium,Normal,Serious Smile,Big,None,Normal,None,Amber,White,Mild,Y
Kyrsten Sinema,545,0.913,AZ,SEN,D,F,0,FLight BlondeFemale BobNormalBig SmileNormalNoneCheeksGlassesBrownwhiteno,Light Blonde,Female Bob,Normal,Big Smile,Normal,None,Cheeks,Glasses,Brown,white,no,Y
Mark Kelly,448,0.867,AZ,SEN,D,M,0,MNoneBaldNormalSerious SmileNormalNoneNormalNoneBlueWhiteMild,None,Bald,Normal,Serious Smile,Normal,None,Normal,None,Blue,White,Mild,Y
Doug LaMalfa,22,0.588,CA,1,R,M,0,MDark GrayGeneric ShortNormalNormalNormalGoateeNormalNoneGreenWhiteNo,Dark Gray,Generic Short,Normal,Normal,Normal,Goatee,Normal,None,Green,White,No,Y
Jared Huffman,23,0.523,CA,2,D,M,0,MGrayReceding HairlineNormalNormalNormalNoneNormalGlassesBlueWhiteNo,Gray,Receding Hairline,Normal,Normal,Normal,None,Normal,Glasses,Blue,White,No,Y
John Garamendi,24,0.491,CA,3,D,M,0,MBrownGeneric ShortNormalBig SmileNormalNoneNormalNoneBlueWhiteYes,Brown,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Blue,White,Yes,Y
Tom McClintock,25,0.542,CA,4,R,M,0,MGrayReceding HairlineNormalThin LipsNormalNoneCheeksNoneHazelWhiteYes,Gray,Receding Hairline,Normal,Thin Lips,Normal,None,Cheeks,None,Hazel,White,Yes,Y
Mike Thompson,26,0.476,CA,5,D,M,0,MWhiteReceding HairlineNormalSerious SmileBigNoneChinNoneBlueWhiteYes,White,Receding Hairline,Normal,Serious Smile,Big,None,Chin,None,Blue,White,Yes,Y
Doris Matsui,27,0.514,CA,6,D,F,0,FBlackFemale ShortNormalBig SmileNormalNoneNormalNoneBrownOrangeYes,Black,Female Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Orange,Yes,Y
Ami Bera,28,0.499,CA,7,D,M,0,MBlackGeneric ShortNormalBig SmileNormalNoneNormalNoneBrownOrangeNo,Black,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Orange,No,Y
Jay Obernolte,29,0.429,CA,8,R,M,0,MBrownGeneric ShortNormalNormalNormalNoneNormalGlassesBlueWhiteNo,Brown,Generic Short,Normal,Normal,Normal,None,Normal,Glasses,Blue,White,No,Y
Jerry McNerney,30,0.444,CA,9,D,M,0,MWhiteReceding HairlineNormalNo SmileNormalNoneChinNoneBlueWhiteYes,White,Receding Hairline,Normal,No Smile,Normal,None,Chin,None,Blue,White,Yes,Y
Josh Harder,31,0.539,CA,10,D,M,0,MDark BrownGeneric ShortProminentSmirkBigChinNormalNoneBrownWhiteNo,Dark Brown,Generic Short,Prominent,Smirk,Big,Chin,Normal,None,Brown,White,No,Y
Mark DeSaulnier,32,0.429,CA,11,D,M,0,MGrayReceding HairlineNormalThin LipsBigNoneCheeksNoneBlueWhiteMild,Gray,Receding Hairline,Normal,Thin Lips,Big,None,Cheeks,None,Blue,White,Mild,Y
Nancy Pelosi,33,0.861,CA,12,D,F,0,FBrownFemale BobNormalSerious SmileBigNoneCheeksNoneHazelTanYes,Brown,Female Bob,Normal,Serious Smile,Big,None,Cheeks,None,Hazel,Tan,Yes,Y
Barbara Lee,34,0.691,CA,13,D,F,0,FBlackFemale ShortNormalNormalBigNoneChinNoneBrownBlackMild,Black,Female Short,Normal,Normal,Big,None,Chin,None,Brown,Black,Mild,Y
Jackie Speier,35,0.48,CA,14,D,F,0,FBlondeFemale LongNormalBig SmileBigNoneNormalNoneHazelWhiteYes,Blonde,Female Long,Normal,Big Smile,Big,None,Normal,None,Hazel,White,Yes,Y
Eric Swalwell,36,0.642,CA,15,D,M,0,MDark BlondeGeneric ShortProminentSerious SmileBigNoneChinNoneGreenWhiteNo,Dark Blonde,Generic Short,Prominent,Serious Smile,Big,None,Chin,None,Green,White,No,Y
Jim Costa,37,0.457,CA,16,D,M,0,MWhiteGeneric Male MediumProminentBig SmileBigNoneNormalNoneHazelWhiteYes,White,Generic Male Medium,Prominent,Big Smile,Big,None,Normal,None,Hazel,White,Yes,Y
Ro Khanna,38,0.606,CA,17,D,Mv,0,MvBrownGeneric ShortNormalBig SmileNormalNoneNormalNoneBrownBrownNo,Brown,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Brown,No,Y
Anna Eshoo,39,0.472,CA,18,D,F,0,FBrownFemale ShortNormalBig SmileNormalNoneNormalNoneBrownOrangeYes,Brown,Female Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Orange,Yes,Y
Zoe Lofgren,40,0.483,CA,19,D,F,0,FBlondeFemale ShortProminentNormalNormalNoneChinNoneBlueWhiteYes,Blonde,Female Short,Prominent,Normal,Normal,None,Chin,None,Blue,White,Yes,Y
Jimmy Panetta,41,0.41,CA,20,D,M,0,MBlackReceding HairlineNormalBig SmileNormalNoneNormalNoneBrownWhiteYes,Black,Receding Hairline,Normal,Big Smile,Normal,None,Normal,None,Brown,White,Yes,Y
David Valadao,42,0.591,CA,21,R,M,0,MDark BrownGeneric ShortNormalSmirkBigNoneChinNoneBrownWhiteMild,Dark Brown,Generic Short,Normal,Smirk,Big,None,Chin,None,Brown,White,Mild,Y
Devin Nunes,43,0.648,CA,22,R,M,0,MBlackGeneric Male MediumProminentNormalNormalNoneCheeksNoneBrownWhiteNo,Black,Generic Male Medium,Prominent,Normal,Normal,None,Cheeks,None,Brown,White,No,Y
Kevin McCarthy,44,0.749,CA,23,R,M,0,MWhiteGeneric Male MediumNormalNo SmileNormalNoneNormalNoneBrownWhiteNo,White,Generic Male Medium,Normal,No Smile,Normal,None,Normal,None,Brown,White,No,Y
Salud Carbajal,45,0.393,CA,24,D,M,0,MDark GrayGeneric Male MediumNormalNormalNormalNoneNormalGlassesBrownBrownNo,Dark Gray,Generic Male Medium,Normal,Normal,Normal,None,Normal,Glasses,Brown,Brown,No,Y
Mike Garcia,46,0.701,CA,25,R,M,0,MBlackReceding HairlineNormalNormalNormalNoneNormalNoneBrownOrangeYes,Black,Receding Hairline,Normal,Normal,Normal,None,Normal,None,Brown,Orange,Yes,Y
Julia Brownley,47,0.453,CA,26,D,F,0,FWhiteFemale ShortNormalBig SmileNormalNoneNormalNoneBlueOrangeNo,White,Female Short,Normal,Big Smile,Normal,None,Normal,None,Blue,Orange,No,Y
Judy Chu,48,0.545,CA,27,D,F,0,FBlackFemale ShortNormalBig SmileNormalNoneNormalNoneBrownWhiteNo,Black,Female Short,Normal,Big Smile,Normal,None,Normal,None,Brown,White,No,Y
Adam Schiff,49,0.612,CA,28,D,M,0,MBrownReceding HairlineNormalSerious SmileBigNoneCheeksNoneLight BrownWhiteMild,Brown,Receding Hairline,Normal,Serious Smile,Big,None,Cheeks,None,Light Brown,White,Mild,Y
Tony Cardenas,50,0.39,CA,29,D,M,0,MDark GrayGeneric ShortNormalNo SmileNormalNoneNormalNoneBrownBrownNo,Dark Gray,Generic Short,Normal,No Smile,Normal,None,Normal,None,Brown,Brown,No,Y
Brad Sherman,51,0.423,CA,30,D,M,0,MBrownBaldNormalNormalBigNoneChinGlassesBrownWhiteYes,Brown,Bald,Normal,Normal,Big,None,Chin,Glasses,Brown,White,Yes,Y
Pete Aguilar,52,0.355,CA,31,D,M,0,MDark GrayGeneric ShortNormalBig SmileBigNoneNormalNoneBrownBrownMild,Dark Gray,Generic Short,Normal,Big Smile,Big,None,Normal,None,Brown,Brown,Mild,Y
Grace Napolitano,53,0.38,CA,32,D,F,0,FWhiteFemale ShortNormalBig SmileNormalNoneNormalNoneBrownBrownYes,White,Female Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Brown,Yes,Y
Ted Lieu,54,0.607,CA,33,D,M,0,MDark GrayGeneric Male MediumNormalNo SmileNormalNoneCheeksNoneBrownOrangeNo,Dark Gray,Generic Male Medium,Normal,No Smile,Normal,None,Cheeks,None,Brown,Orange,No,Y
Jimmy Gomez,55,0.492,CA,34,D,M,0,MBlackGeneric Male MediumNormalSmirkNormalNoneNormalNoneBrownBrownYes,Black,Generic Male Medium,Normal,Smirk,Normal,None,Normal,None,Brown,Brown,Yes,Y
Norma Torres,56,0.445,CA,35,D,F,0,FBrownFemale LongNormalNo SmileNormalNoneNormalNoneBrownBrownNo,Brown,Female Long,Normal,No Smile,Normal,None,Normal,None,Brown,Brown,No,Y
Raul Ruiz,57,0.442,CA,36,D,M,0,MBlackGeneric Male MediumNormalSerious SmileBigNoneCheeksNoneBrownBrownNo,Black,Generic Male Medium,Normal,Serious Smile,Big,None,Cheeks,None,Brown,Brown,No,Y
Karen Bass,58,0.505,CA,37,D,F,0,FBrownGeneric ShortNormalBig SmileNormalNoneNormalNoneBrownBlackNo,Brown,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Black,No,Y
Linda Sanchez,59,0.441,CA,38,D,F,0,FBrownFemale LongNormalBig SmileNormalNoneNormalNoneBrownBrownYes,Brown,Female Long,Normal,Big Smile,Normal,None,Normal,None,Brown,Brown,Yes,Y
Young Kim,60,0.698,CA,39,R,F,0,FBrownFemale ShortNormalBig SmileBigNoneNormalNoneBrownWhiteMild,Brown,Female Short,Normal,Big Smile,Big,None,Normal,None,Brown,White,Mild,Y
Lucille Roybal-Allard,61,0.337,CA,40,D,F,0,FBlackFemale BobNormalBig SmileNormalNoneNormalNoneBrownBrownYes,Black,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Brown,Brown,Yes,Y
Mark Takano,62,0.375,CA,41,D,M,0,MDark GrayGeneric Male MediumProminentSmirkBigNoneCheeksNoneBrownWhiteMild,Dark Gray,Generic Male Medium,Prominent,Smirk,Big,None,Cheeks,None,Brown,White,Mild,Y
Ken Calvert,63,0.41,CA,42,R,M,0,MBrownGeneric Male MediumNormalNormalNormalNoneChinNoneBlueWhiteNo,Brown,Generic Male Medium,Normal,Normal,Normal,None,Chin,None,Blue,White,No,Y
Maxine Waters,64,0.669,CA,43,D,F,0,FRedFemale BobNormalSerious SmileBigNoneCheeksNoneBrownBrownYes,Red,Female Bob,Normal,Serious Smile,Big,None,Cheeks,None,Brown,Brown,Yes,Y
Nanette Barragan,65,0.451,CA,44,D,F,0,FBlackFemale LongNormalBig SmileNormalNoneCheeksNoneBrownOrangeNo,Black,Female Long,Normal,Big Smile,Normal,None,Cheeks,None,Brown,Orange,No,Y
Katie Porter,66,0.612,CA,45,D,F,0,FBrownFemale ShortNormalBig SmileNormalNoneNormalNoneBlueWhiteNo,Brown,Female Short,Normal,Big Smile,Normal,None,Normal,None,Blue,White,No,Y
Lou Correa,67,0.391,CA,46,D,M,0,MGrayBaldProminentSerious SmileBigNoneCheeksNoneBrownOrangeMild,Gray,Bald,Prominent,Serious Smile,Big,None,Cheeks,None,Brown,Orange,Mild,Y
Alan Lowenthal,68,0.441,CA,47,D,M,0,MWhiteGeneric Male MediumNormalNormalNormalNoneNormalGlassesBlueWhiteYes,White,Generic Male Medium,Normal,Normal,Normal,None,Normal,Glasses,Blue,White,Yes,Y
Michelle Steel,69,0.628,CA,48,R,F,0,FBlackFemale BobProminentSmirkBigNoneCheeksNoneBrownWhiteMild,Black,Female Bob,Prominent,Smirk,Big,None,Cheeks,None,Brown,White,Mild,Y
Mike Levin,70,0.448,CA,49,D,M,0,MBlondeGeneric Male MediumNormalBig SmileNormalNoneNormalNoneBlueWhiteYes,Blonde,Generic Male Medium,Normal,Big Smile,Normal,None,Normal,None,Blue,White,Yes,Y
Darrell Issa,71,0.514,CA,50,R,M,0,MBrownGeneric Male MediumNormalSmirkNormalNoneNormalNoneBrownBrownYes,Brown,Generic Male Medium,Normal,Smirk,Normal,None,Normal,None,Brown,Brown,Yes,Y
Juan Vargas,72,0.39,CA,51,D,M,0,MGrayGeneric Male MediumNormalBig SmileNormalNoneNormalNoneBrownBrownYes,Gray,Generic Male Medium,Normal,Big Smile,Normal,None,Normal,None,Brown,Brown,Yes,Y
Scott Peters,73,0.491,CA,52,D,M,0,MDark GrayGeneric Male MediumNormalBig SmileNormalNoneChinNoneAmberWhiteMild,Dark Gray,Generic Male Medium,Normal,Big Smile,Normal,None,Chin,None,Amber,White,Mild,Y
Sara Jacobs,74,0.561,CA,53,D,F,0,FBlackFemale LongProminentBig SmileNormalNoneCheeksNonehazelWhiteNo,Black,Female Long,Prominent,Big Smile,Normal,None,Cheeks,None,hazel,White,No,Y
Dianne Feinstein,450,0.927,CA,SEN,D,F,0,FDark BrownFemale ShortNormalBig SmileNormalNoneCheeksNoneBlueOrangeYes,Dark Brown,Female Short,Normal,Big Smile,Normal,None,Cheeks,None,Blue,Orange,Yes,Y
Alex Padilla,449,0.734,CA,SEN,D,M,0,MDark GrayGeneric Male MediumNormalSerious SmileNormalNoneNormalNoneBrownBrownMild,Dark Gray,Generic Male Medium,Normal,Serious Smile,Normal,None,Normal,None,Brown,Brown,Mild,Y
Diana DeGette,75,0.566,CO,1,D,F,0,FBrownFemale LongNormalBig SmileNormalNoneCheeksNoneGreenWhiteMild,Brown,Female Long,Normal,Big Smile,Normal,None,Cheeks,None,Green,White,Mild,Y
Joe Neguse,76,0.626,CO,2,D,M,0,MBlackGeneric ShortNormalBig SmileBigNoneChinNoneBrownBlackNo,Black,Generic Short,Normal,Big Smile,Big,None,Chin,None,Brown,Black,No,Y
Lauren Boebert,77,0.718,CO,3,R,F,0,FBrownFemale LongNormalNormalNormalNoneNormalGlassesBrownWhiteNo,Brown,Female Long,Normal,Normal,Normal,None,Normal,Glasses,Brown,White,No,Y
Ken Buck,78,0.58,CO,4,R,M,0,MGrayReceding HairlineNormalNormalNormalNoneNormalNoneBrownWhiteYes,Gray,Receding Hairline,Normal,Normal,Normal,None,Normal,None,Brown,White,Yes,Y
Doug Lamborn,79,0.42,CO,5,R,M,0,MDark GrayReceding HairlineNormalBig SmileBigNoneChinNoneBlueWhiteNo,Dark Gray,Receding Hairline,Normal,Big Smile,Big,None,Chin,None,Blue,White,No,Y
Jason Crow,80,0.619,CO,6,D,M,0,MDark BrownGeneric Male MediumNormalBig SmileBigNoneChinNoneHazelWhiteYes,Dark Brown,Generic Male Medium,Normal,Big Smile,Big,None,Chin,None,Hazel,White,Yes,Y
Ed Perlmutter,81,0.52,CO,7,D,M,0,MBlackGeneric Male MediumProminentNormalNormalNoneNormalNoneBrownWhiteYes,Black,Generic Male Medium,Prominent,Normal,Normal,None,Normal,None,Brown,White,Yes,Y
John Hickenlooper,552,0.817,CO,SEN,D,M,0,MLight BrownGeneric Male MediumNormalBig SmileNormalNoneNormalNonehazelwhiteMild,Light Brown,Generic Male Medium,Normal,Big Smile,Normal,None,Normal,None,hazel,white,Mild,Y
Michael Bennet,452,0.761,CO,SEN,D,M,0,MBrownGeneric ShortProminentThin LipsNormalNoneNormalNonehazelWhiteMild,Brown,Generic Short,Prominent,Thin Lips,Normal,None,Normal,None,hazel,White,Mild,Y
John B. Larson,82,0.472,CT,1,D,M,0,MWhiteGeneric Male MediumNormalNormalBigNoneCheeksNoneBlueWhiteYes,White,Generic Male Medium,Normal,Normal,Big,None,Cheeks,None,Blue,White,Yes,Y
Joe Courtney,83,0.461,CT,2,D,M,0,MWhiteBaldNormalBig SmileBigNoneChinNoneHazelWhiteYes,White,Bald,Normal,Big Smile,Big,None,Chin,None,Hazel,White,Yes,Y
Rosa DeLauro,84,0.593,CT,3,D,F,0,FPurpleFemale ShortNormalBig SmileNormalNoneNormalNoneBrownOrangeYes,Purple,Female Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Orange,Yes,Y
Jim Himes,85,0.539,CT,4,D,M,0,MBlackGeneric Male MediumNormalSerious SmileBigNoneChinNoneBrownWhiteMild,Black,Generic Male Medium,Normal,Serious Smile,Big,None,Chin,None,Brown,White,Mild,Y
Jahana Hayes,86,0.606,CT,5,D,F,0,FBlackFemale BobNormalBig SmileNormalNoneNormalNoneBrownBlackNo,Black,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Brown,Black,No,Y
Chris Murphy,453,0.739,CT,SEN,D,M,0,MBrownGeneric Male MediumNormalSmirkNormalNoneNormalNoneBrownWhiteNo,Brown,Generic Male Medium,Normal,Smirk,Normal,None,Normal,None,Brown,White,No,Y
Richard Blumenthal,454,0.716,CT,SEN,D,M,0,MBrownGeneric ShortNormalThin LipsNormalNoneChinNoneGreenWhiteYes,Brown,Generic Short,Normal,Thin Lips,Normal,None,Chin,None,Green,White,Yes,Y
Eleanor Norton,88,0.4,DC,1,D,F,0,FBrownGeneric ShortProminentNormalBigNoneNormalGlassesGreyBrownNo,Brown,Generic Short,Prominent,Normal,Big,None,Normal,Glasses,Grey,Brown,No,Y
Lisa Blunt,87,0.623,DE,1,D,F,0,FBlackFemale BobNormalBig SmileNormalNoneNormalNoneBrownBrownNo,Black,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Brown,Brown,No,Y
Chris Coons,455,0.789,DE,SEN,D,M,0,MLight BrownBaldNormalNo SmileBigNoneChinNoneblue-greyWhiteNo,Light Brown,Bald,Normal,No Smile,Big,None,Chin,None,blue-grey,White,No,Y
Tom Carper,456,0.651,DE,SEN,D,M,0,MDark BlondeReceding HairlineNormalSneerNormalNoneChinNonehazelWhiteMild,Dark Blonde,Receding Hairline,Normal,Sneer,Normal,None,Chin,None,hazel,White,Mild,Y
Matt Gaetz,89,0.782,FL,1,R,M,0,MDark BrownGeneric Male MediumProminentSneerNormalNoneCheeksNoneGreyWhiteNo,Dark Brown,Generic Male Medium,Prominent,Sneer,Normal,None,Cheeks,None,Grey,White,No,Y
Neal Dunn,90,0.441,FL,2,R,M,0,MLight BrownReceding HairlineNormalNormalNormalNoneNormalNoneBrownWhiteYes,Light Brown,Receding Hairline,Normal,Normal,Normal,None,Normal,None,Brown,White,Yes,Y
Kat Cammack,91,0.435,FL,3,R,F,0,FLight BlondeFemale LongProminentNormalNormalNoneCheeksNoneBlueWhiteNo,Light Blonde,Female Long,Prominent,Normal,Normal,None,Cheeks,None,Blue,White,No,Y
John Rutherford,92,0.423,FL,4,R,M,0,MGrayReceding HairlineNormalSerious SmileBigMoustacheNormalNoneGreenWhiteNo,Gray,Receding Hairline,Normal,Serious Smile,Big,Moustache,Normal,None,Green,White,No,Y
Al Lawson,93,0.455,FL,5,D,M,0,MBrownGeneric ShortNormalNormalNormalNoneChinNoneBrownBrownNo,Brown,Generic Short,Normal,Normal,Normal,None,Chin,None,Brown,Brown,No,Y
Michael Waltz,94,0.397,FL,6,R,M,0,MDark GrayReceding HairlineNormalSerious SmileNormalNoneChinNoneBrownWhiteMild,Dark Gray,Receding Hairline,Normal,Serious Smile,Normal,None,Chin,None,Brown,White,Mild,Y
Stephanie Murphy,95,0.59,FL,7,D,F,0,FBlackFemale LongNormalSerious SmileNormalNoneNormalNoneBrownWhiteNo,Black,Female Long,Normal,Serious Smile,Normal,None,Normal,None,Brown,White,No,Y
Bill Posey,96,0.372,FL,8,R,M,0,MBlackReceding HairlineNormalSerious SmileNormalNoneNormalNoneHazelWhiteYes,Black,Receding Hairline,Normal,Serious Smile,Normal,None,Normal,None,Hazel,White,Yes,Y
Darren Soto,97,0.474,FL,9,D,M,0,MBlackGeneric Male MediumNormalNormalNormalNoneCheeksNoneBrownOrangeNo,Black,Generic Male Medium,Normal,Normal,Normal,None,Cheeks,None,Brown,Orange,No,Y
Val Demings,98,0.6,FL,10,D,F,0,FDark BrownFemale BobNormalNormalNormalNoneCheeksNoneBrownBrownNo,Dark Brown,Female Bob,Normal,Normal,Normal,None,Cheeks,None,Brown,Brown,No,Y
Daniel Webster,99,0.4,FL,11,R,M,0,MWhiteGeneric Male MediumProminentNormalNormalNoneNormalNoneBrownWhiteYes,White,Generic Male Medium,Prominent,Normal,Normal,None,Normal,None,Brown,White,Yes,Y
Gus Bilirakis,100,0.304,FL,12,R,M,0,MBrownGeneric Male MediumNormalSerious SmileNormalNoneNormalGlassesBrownWhiteYes,Brown,Generic Male Medium,Normal,Serious Smile,Normal,None,Normal,Glasses,Brown,White,Yes,Y
Charlie Crist,101,0.601,FL,13,D,M,0,MWhiteGeneric Male MediumProminentNormalBigNoneChinNoneBrownWhiteYes,White,Generic Male Medium,Prominent,Normal,Big,None,Chin,None,Brown,White,Yes,Y
Kathy Castor,102,0.477,FL,14,D,F,0,FRedFemale BobNormalBig SmileNormalNoneNormalNoneGreenWhiteNo,Red,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Green,White,No,Y
Scott Franklin,103,0.382,FL,15,R,M,0,MDark GrayGeneric Male MediumNormalNormalNormalNoneChinNoneBlue-GreyWhiteMild,Dark Gray,Generic Male Medium,Normal,Normal,Normal,None,Chin,None,Blue-Grey,White,Mild,Y
Vern Buchanan,104,0.431,FL,16,R,M,0,MDark BrownGeneric Male MediumNormalSerious SmileBigNoneChinNoneGreyWhiteNo,Dark Brown,Generic Male Medium,Normal,Serious Smile,Big,None,Chin,None,Grey,White,No,Y
Greg Steube,105,0.365,FL,17,R,M,0,MBrownGeneric Male MediumNormalNormalNormalBeardNormalNoneBrownWhiteNo,Brown,Generic Male Medium,Normal,Normal,Normal,Beard,Normal,None,Brown,White,No,Y
Brian Mast,106,0.451,FL,18,R,M,0,MNoneBaldNormalBig SmileNormalNoneNormalNoneBrownWhiteYes,None,Bald,Normal,Big Smile,Normal,None,Normal,None,Brown,White,Yes,Y
